draft_overall,osf_surplus,surplus,osf_fit
1,64,2.38,100
2,67,2.48,99
3,68,2.52,97
4,69,2.57,96
5,73,2.72,95
6,82,3.06,94
7,89,3.32,93
8,96,3.57,91
9,94,3.51,90
10,95,3.53,89
11,97,3.59,88
12,100,3.72,87
13,99,3.69,85
14,100,3.7,84
15,98,3.66,83
16,99,3.69,82
17,98,3.65,81
18,97,3.62,80
19,96,3.57,79
20,94,3.51,78
21,93,3.45,76
22,91,3.4,75
23,90,3.34,74
24,89,3.31,73
25,88,3.26,72
26,86,3.21,71
27,85,3.16,70
28,84,3.11,69
29,84,3.11,68
30,83,3.08,67
31,82,3.05,66
32,81,3.01,65
33,86,3.19,64
34,84,3.14,64
35,83,3.09,63
36,82,3.04,62
37,81,2.99,61
38,79,2.95,60
39,78,2.91,59
40,77,2.87,58
41,76,2.83,57
42,75,2.79,57
43,74,2.75,56
44,73,2.71,55
45,72,2.67,54
46,71,2.64,53
47,70,2.62,53
48,70,2.58,52
49,69,2.55,51
50,68,2.52,50
51,67,2.49,50
52,66,2.46,49
53,65,2.43,48
54,65,2.4,47
55,64,2.37,47
56,63,2.34,46
57,62,2.3,45
58,61,2.26,45
59,60,2.23,44
60,59,2.19,43
61,58,2.16,43
62,57,2.12,42
63,56,2.08,41
64,55,2.05,41
65,55,2.04,40
66,54,2,40
67,53,1.97,39
68,52,1.93,39
69,51,1.9,38
70,50,1.87,37
71,50,1.84,37
72,49,1.81,37
73,48,1.79,36
74,47,1.76,36
75,47,1.73,35
76,46,1.71,35
77,45,1.69,34
78,45,1.66,34
79,44,1.64,34
80,44,1.62,33
81,43,1.6,33
82,42,1.58,33
83,42,1.56,32
84,41,1.54,32
85,41,1.52,32
86,40,1.5,31
87,40,1.48,31
88,39,1.46,31
89,39,1.44,30
90,38,1.42,30
91,38,1.4,30
92,37,1.38,29
93,37,1.36,29
94,36,1.34,29
95,36,1.32,28
96,35,1.3,28
97,35,1.29,28
98,34,1.26,27
99,33,1.24,27
100,33,1.22,27
101,32,1.2,27
102,32,1.19,26
103,31,1.17,26
104,31,1.15,26
105,32,1.18,25
106,31,1.16,25
107,31,1.14,25
108,30,1.13,25
109,30,1.11,24
110,30,1.1,24
111,29,1.08,24
112,29,1.07,24
113,28,1.05,23
114,28,1.04,23
115,28,1.02,23
116,27,1.01,23
117,27,1,23
118,26,0.98,22
119,26,0.97,22
120,26,0.95,22
121,25,0.94,22
122,25,0.93,21
123,25,0.91,21
124,24,0.9,21
125,24,0.89,21
126,24,0.87,21
127,23,0.86,20
128,23,0.85,20
129,22,0.83,20
130,22,0.82,20
131,22,0.81,19
132,21,0.8,19
133,21,0.78,19
134,21,0.77,19
135,21,0.76,19
136,20,0.75,19
137,20,0.76,18
138,20,0.75,18
139,20,0.76,18
140,20,0.75,18
141,20,0.74,18
142,20,0.73,18
143,19,0.72,18
144,19,0.71,17
145,19,0.71,17
146,19,0.7,17
147,19,0.69,17
148,18,0.68,17
149,18,0.68,17
150,18,0.67,17
151,18,0.66,17
152,18,0.65,16
153,17,0.64,16
154,17,0.63,16
155,17,0.63,16
156,17,0.62,16
157,16,0.61,16
158,16,0.6,16
159,16,0.59,15
160,16,0.58,15
161,15,0.57,15
162,15,0.56,15
163,15,0.55,15
164,15,0.54,15
165,14,0.53,15
166,14,0.53,14
167,14,0.52,14
168,14,0.51,14
169,13,0.5,14
170,13,0.49,14
171,13,0.48,14
172,13,0.47,14
173,13,0.46,13
174,12,0.46,13
175,12,0.45,13
176,12,0.44,13
177,12,0.43,13
178,11,0.42,13
179,11,0.41,13
180,11,0.41,13
181,11,0.4,12
182,11,0.39,12
183,10,0.38,12
184,10,0.38,12
185,10,0.37,12
186,10,0.36,12
187,10,0.35,12
188,9,0.35,12
189,9,0.34,11
190,9,0.33,11
191,9,0.33,11
192,9,0.32,11
193,8,0.31,11
194,8,0.31,11
195,8,0.3,11
196,8,0.29,11
197,8,0.29,11
198,8,0.28,10
199,7,0.27,10
200,7,0.27,10
201,7,0.26,10
202,7,0.25,10
203,7,0.25,10
204,7,0.24,10
205,6,0.24,10
206,6,0.23,10
207,6,0.23,10
208,6,0.22,10
209,6,0.22,9
210,6,0.21,9
211,6,0.21,9
212,5,0.2,9
213,5,0.2,9
214,5,0.19,9
215,5,0.19,9
216,5,0.18,9
217,5,0.18,9
218,5,0.17,9
219,5,0.17,9
220,4,0.16,9
221,4,0.16,9
222,4,0.16,8
223,4,0.15,8
224,4,0.15,8
225,4,0.14,8
226,4,0.14,8
227,4,0.14,8
228,4,0.13,8
229,3,0.13,8
230,3,0.13,8
231,3,0.12,8
232,3,0.12,8
233,3,0.12,8
234,3,0.11,8
235,3,0.11,8
236,3,0.11,8
237,3,0.11,8
238,3,0.1,8
239,3,0.1,8
240,3,0.1,8
241,3,0.1,7
242,3,0.09,7
243,2,0.09,7
244,2,0.09,7
245,2,0.09,7
246,2,0.09,7
247,2,0.08,7
248,2,0.08,7
249,2,0.08,7
250,2,0.08,7
251,2,0.08,7
252,2,0.08,7
253,2,0.08,7
254,2,0.07,7
255,2,0.07,7
256,2,0.07,7
